station_id,point_id,power,public key,steckertyp,inbetriebnahme
0,1,22.0,,,2020-01-11
0,2,22.0,,AC Steckdose Typ 2,2020-01-11
1,1,22.0,,,2019-01-07
1,2,22.0,,AC Steckdose Typ 2,2019-01-07
2,1,43.0,,,2019-03-19
2,2,50.0,,"DC Kupplung Combo, DC CHAdeMO",2019-03-19
3,1,22.0,,,2018-12-21
3,2,22.0,,"AC Steckdose Typ 2, AC Schuko",2018-12-21
4,1,300.0,,,2019-03-08
4,2,300.0,,DC Kupplung Combo,2019-03-08
4,1,300.0,,,2019-03-08
4,2,300.0,,DC Kupplung Combo,2019-03-08
4,1,150.0,,,2019-12-18
4,2,22.0,,AC Steckdose Typ 2,2019-12-18
4,1,150.0,,,2018-12-18
4,2,22.0,,AC Steckdose Typ 2,2018-12-18
5,1,22.0,,,2020-11-19
5,2,22.0,,"AC Steckdose Typ 2, AC Schuko",2020-11-19
6,1,22.0,,,2019-05-18
7,1,22.0,,,2019-10-31
8,1,22.0,,,2020-01-01
9,1,22.0,,,2020-10-01
10,1,22.0,,,2020-10-01
11,1,22.0,,,2020-10-01
12,1,22.0,,,2020-10-01
13,1,22.0,,,2020-10-01
14,1,22.0,,,2020-10-01
15,1,22.0,,,2021-02-24
15,2,11.0,,AC Steckdose Typ 2,2021-02-24
16,1,22.0,,,2018-12-19
16,2,22.0,,"AC Steckdose Typ 2, AC Schuko",2018-12-19
17,1,11.0,,,2012-01-01
17,2,11.0,,"AC Steckdose Typ 2, AC Schuko",2012-01-01
18,1,22.0,,,2018-12-19
18,2,22.0,,"AC Steckdose Typ 2, AC Schuko",2018-12-19
19,1,22.0,,,2019-04-13
20,1,22.0,,,2019-04-13
21,1,22.0,,,2019-04-13
22,1,22.0,,,2019-05-13
23,1,22.0,,,2020-08-13
24,1,11.0,,,2012-01-01
25,1,22.0,,,2018-09-11
25,2,22.0,,AC Steckdose Typ 2,2018-09-11
26,1,11.0,,,2020-10-29
26,2,22.0,,DC Kupplung Combo,2020-10-29
27,1,22.0,,,2021-01-19
27,2,11.0,,AC Steckdose Typ 2,2021-01-19
28,1,100.0,,,2021-04-22
29,1,22.0,,,2021-05-28
29,2,22.0,,AC Steckdose Typ 2,2021-05-28
30,1,22.0,,,2018-12-19
