id,title,power,lat,lon,station_id,plug
16774,12004,22,53.71121000,9.99940000,1,CONNECTOR.AC.TYPE2.SOCKET
16775,12005,22,53.71121000,9.99940000,1,CONNECTOR.AC.TYPE2.SOCKET
9,Ladepunkt 9,22,,,6,CONNECTOR.AC.TYPE2.SOCKET
10,Ladepunkt 10,22,,,6,CONNECTOR.AC.TYPE2.SOCKET
13972,Hermann-Körner-Str. 47,-,,,7,CONNECTOR.AC.TYPE2.SOCKET
13973,Möllner Landstr. 76,-,,,8,CONNECTOR.AC.TYPE2.SOCKET
13974,Möllner Landstr. 20,-,,,9,CONNECTOR.AC.TYPE2.SOCKET
13975,Hamburger Str. 5-7,-,,,10,CONNECTOR.AC.TYPE2.SOCKET
158712,Hafenstraße 37*1,22,,,11,CONNECTOR.AC.TYPE2.SOCKET
158713,Hafenstraße 37*2,22,,,11,CONNECTOR.AC.TYPE2.SOCKET
160598,Neuer Ladepunkt*1,22,54.81463067,8.28967386,12,CONNECTOR.AC.TYPE2.SOCKET
160599,Neuer Ladepunkt*2,22,54.81480377,8.28980260,12,CONNECTOR.AC.TYPE2.SOCKET
160589,Neuer Ladepunkt*3,22,,,13,CONNECTOR.AC.TYPE2.SOCKET
160590,Neuer Ladepunkt*4,22,,,13,CONNECTOR.AC.TYPE2.SOCKET
160602,Neuer Ladepunkt*6,22,,,14,CONNECTOR.AC.TYPE2.SOCKET
160603,Neuer Ladepunkt*5,-,,,14,CONNECTOR.AC.TYPE2.SOCKET
160604,Neuer Ladepunkt*8,22,,,15,CONNECTOR.AC.TYPE2.SOCKET
160605,Neuer Ladepunkt*7,22,,,15,CONNECTOR.AC.TYPE2.SOCKET
21,Ladepunkt 21,22,,,16,CONNECTOR.AC.TYPE2.SOCKET
22,Ladepunkt 22,22,,,16,CONNECTOR.AC.TYPE2.SOCKET
23,Ladepunkt 23,22,,,17,CONNECTOR.AC.TYPE2.SOCKET
24,Ladepunkt 24,22,,,17,CONNECTOR.AC.TYPE2.SOCKET
25,Ladepunkt 25,22,,,18,CONNECTOR.AC.TYPE2.SOCKET
26,Ladepunkt 26,22,,,18,CONNECTOR.AC.TYPE2.SOCKET
27,Ladepunkt 27,22,,,19,CONNECTOR.AC.TYPE2.SOCKET
28,Ladepunkt 28,22,,,19,CONNECTOR.AC.TYPE2.SOCKET
29,Ladepunkt 29,22,,,20,CONNECTOR.AC.TYPE2.SOCKET
30,Ladepunkt 30,22,,,20,CONNECTOR.AC.TYPE2.SOCKET
31,Ladepunkt 31,22,,,21,CONNECTOR.AC.TYPE2.SOCKET
32,Ladepunkt 32,22,,,21,CONNECTOR.AC.TYPE2.SOCKET
33,Ladepunkt 33,22,,,22,CONNECTOR.AC.TYPE2.SOCKET
34,Ladepunkt 34,22,,,22,CONNECTOR.AC.TYPE2.SOCKET
35,Ladepunkt 35,22,,,23,CONNECTOR.AC.TYPE2.SOCKET
36,Ladepunkt 36,22,,,23,CONNECTOR.AC.TYPE2.SOCKET
37,Ladepunkt 37,22,,,24,CONNECTOR.AC.TYPE2.SOCKET
38,Ladepunkt 38,22,,,24,CONNECTOR.AC.TYPE2.SOCKET
39,Ladepunkt 39,22,,,25,CONNECTOR.AC.TYPE2.SOCKET
40,Ladepunkt 40,22,,,25,CONNECTOR.AC.TYPE2.SOCKET
41,Ladepunkt 41,22,,,26,CONNECTOR.AC.TYPE2.SOCKET
42,Ladepunkt 42,22,,,26,CONNECTOR.AC.TYPE2.SOCKET
43,Ladepunkt 43,22,,,27,CONNECTOR.AC.TYPE2.SOCKET
44,Ladepunkt 44,22,,,27,CONNECTOR.AC.TYPE2.SOCKET
45,Ladepunkt 45,22,,,28,CONNECTOR.AC.TYPE2.SOCKET
46,Ladepunkt 46,22,,,28,CONNECTOR.AC.TYPE2.SOCKET
47,Ladepunkt 47,22,,,29,CONNECTOR.AC.TYPE2.SOCKET
48,Ladepunkt 48,22,,,29,CONNECTOR.AC.TYPE2.SOCKET
49,Ladepunkt 49,22,,,30,CONNECTOR.AC.TYPE2.SOCKET
