id,title,lat,lon,street,zip,city,plug,open,parking,network,payment_text,operator,access,electricity_mix,charge_type,payment_mode,payment_RFID,payment_OTHERS,imga,img,info,payment_APP,payment_PLUG-N-CHARGE,times,payment_CREDIT-CARD,payment_DEBIT-CARD
1,Ladestation 1,53.71120346,9.99938303,Ulzburger Str. 353,22846,Norderstedt,0,1.0,2,Stromnetz Hamburg,"Einfache Nutzung

Die Norderstedter Ladeinfrastruktur steht grundsätzlich allen
Nutzern von e-Mobilen zur Verfügung. Die Abrechnung der
Ladevorgänge an den Ladepunkten erfolgt durch die Stadtwerke Norderstedt als sogenannter Elektromobilitätsprovider.
Als Partner von Stromnetz Hamburg sind die Stadtwerke Norderstedt Teil eines großen Netzwerks von Betreibern von Ladeinfrastrukturen und Elektromobilitätsprovidern in Deutschland
und über die Grenzen hinaus. Der große Vorteil für die Nutzer
von e-Mobilen besteht darin, dass auch sie die Ladepunkte
dieses Netzwerks nutzen und so europaweit mobil sind.

Einfache Bezahlung

Ein Anbieter, ein Preis – mit der RFID Karte von den Stadtwerken Norderstedt laden sie unabhängig vom Standort des
Ladepunktes innerhalb und außerhalb von Norderstedt zu den
immer aktuellen Konditionen. Voraussetzung ist der Abschluss
des speziell für Nutzer von e-Mobilen angebotene Stromtarif
Watt2Go. Weitere Informationen zu Watt2Go erhalten Sie im
ServiceCenter der Stadtwerke Norderstedt.
Spontan laden – mit dem Direct Pay-System stehen Ihnen alle
Ladepunkte im Verbundsystem der Elektromobilitätsprovider
von Stromnetz Hamburg jederzeit zur Verfügung.
Direct Pay ermöglicht eine vollkommen vertragsunabhängige
Bezahlung. Nutzer, die in diesem Direktbezahlverfahren an
einer Ladeeinrichtung laden wollen, können dafür einfach ihr
Mobiltelefon nutzen. Sie schicken eine SMS mit der gewünschten Ladepunktbezeichnung an eine Servicenummer senden
und schalten dadurch einen bestimmten Ladepunkt frei.
Die Abrechnung erfolgt direkt über den Mobilfunkvertrag.
Eine entsprechende -App für Android oder iOS ist ebenfalls verfügbar. Vorteil der App ist, dass weitere Bezahlmöglichkeiten
wie z.B. Kreditkarte oder SEPA-Lastschrift ermöglicht werden.
Darüber hinaus bietet die App weitere Services wie Navigation
zur nächstgelegenen Ladeeinrichtung, technische Informationen zur Ladeeinrichtung und Online-Verfügbarkeitsanzeigen.",Stadtwerke Norderstedt,NOT.SPECIFIED,GREEN.ENERGY,QUICKCHARGE,KWH,1.0,,,,,,,,,
6,Ladestation 6,54.31352540,9.71767350,Kieler Str. 25,24790,Schacht-Audorf,0,1.0,,,,Stadtwerke Rendsburg GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
7,Ladestation 7,53.52103400,10.24290980,Hermann-Körner-Str. 47,21465,Reinbek,0,1.0,,,,e-werk Sachsenwald GmbH,NOT.SPECIFIED,NOT.SPECIFIED,NORMAL,COMBO,,,,,,,,,,
8,Ladestation 8,53.54062070,10.21132910,Möllner Landstr. 76,21509,Glinde,0,1.0,,,,e-werk Sachsenwald GmbH,NOT.SPECIFIED,NOT.SPECIFIED,NORMAL,COMBO,,,,,,,,,,
9,Ladestation 9,53.54128950,10.16256810,Möllner Landstr. 20,22113,Oststeinbek,0,1.0,,,,e-werk Sachsenwald GmbH,NOT.SPECIFIED,NOT.SPECIFIED,NORMAL,COMBO,,,,,,,,,,
10,Ladestation 10,53.51017000,10.25041000,Hamburger Str. 5-7,21465,Reinbek,0,1.0,,,,e-werk Sachsenwald GmbH,NOT.SPECIFIED,NOT.SPECIFIED,NORMAL,COMBO,,,,,,,,,,
11,"Ladestation Hafenstr. 37, List",55.01917064,8.43885490,Hafenstr. 37,25992,List ,0,1.0,,,,Energieversorgung Sylt GmbH,NOT.SPECIFIED,GREEN.ENERGY,QUICKCHARGE,KWH,1.0,,,,,,,,,
12,"Ladestation Hörnumer Str. 0, Rantum &#40;Sansibar&#41;",54.81464303,8.28963094,Hörnumer Str. 0,25980,Rantum,0,1.0,,,,Energieversorgung Sylt GmbH,NOT.SPECIFIED,NOT.SPECIFIED,QUICKCHARGE,COMBO,1.0,,,,,,,,,
13,"Ladestation Am Wasser 0, Hörnum",54.75534602,8.29322008,Am Wasser 0,25997,Hörnum ,0,1.0,,,,Energieversorgung Sylt GmbH,PUBLIC.STREET,GREEN.ENERGY,QUICKCHARGE,KWH,1.0,,,,,,,,,
14,"Ladestation Bahnweg 4, Westerland",54.91437988,8.31217917,Bahnweg 4,25980,Westerland,0,1.0,,,,Energieversorgung Sylt GmbH,PUBLIC.ACCESS,GREEN.ENERGY,QUICKCHARGE,KWH,1.0,,,,,,,,,
15,"Ladestation Kirchenweg 0, Westerland &#40;Bahnhof&#41;",54.90752829,8.31109221,Kirchenweg 0,25980,Westerland,0,1.0,,,,Energieversorgung Sylt GmbH,PUBLIC.STREET,GREEN.ENERGY,QUICKCHARGE,KWH,1.0,,,,,,,,,
16,Ladestation 16,52.42536900,13.58619500,Wendenschloßstr. 354,12557,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
17,Ladestation 17,52.50715400,13.27533500,Hammarskjöldplatz 1,14055,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
18,Ladestation 18,52.54400100,13.54400800,Marzahner Promenade 1A,12679,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
19,Ladestation 19,52.53099500,13.44161100,Margarete-Sommer-Str. 2,10407,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
20,Ladestation 20,52.50768700,13.32840200,Fasanenstr. 85,10623,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
21,Ladestation 21,52.51307400,13.32180300,Ernst-Reuter-Platz 9,10587,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
22,Ladestation 22,52.42142900,13.35840600,Malteserstr. 136-138,12249,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
23,Ladestation 23,52.51010600,13.37804600,Leipziger Platz 19,10117,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
24,Ladestation 24,52.50456500,13.34057300,Nürnberger Str. 5-7,10787,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
25,Ladestation 25,52.51117300,13.38956300,Friedrichstr. 191,10117,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
26,Ladestation 26,52.51470900,13.47661400,Frankfurter Allee 113,10247,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
