location_id,city,open_soon,postal_code,longitude,latitude,station_id,kw,charger_type,bundesland
dc36310,Hoyerswerda,0,2977,14.2647780000,51.4457710000,dc36310,11,destination,Sachsen
dc36310,Hoyerswerda,0,2977,14.2647780000,51.4457710000,dc36310,11,destination,Sachsen
dc75043,Noerdlingen,0,86720,10.4945730000,48.8565290000,dc75043,22,destination,Bayern
dc74540,Hahnenklee,0,38644,10.3386250000,51.8639930000,dc74540,11,destination,Niedersachsen
dc78129,Emmelsbuell-Horsbuell,0,25924,8.7006060000,54.8097810000,dc78129,17,destination,Schleswig-Holstein
dc11920,List,0,25992,8.4288800000,55.0144850000,dc11920,11,destination,Schleswig-Holstein
dc11920,List,0,25992,8.4288800000,55.0144850000,dc11920,11,destination,Schleswig-Holstein
dc74675,Karlsruhe,0,76133,8.3932930000,49.0129060000,dc74675,17,destination,Baden-Württemberg
dc74672,Bad Duerkheim,0,67098,8.1695840000,49.4621520000,dc74672,22,destination,Rheinland-Pfalz
dc74672,Bad Duerkheim,0,67098,8.1695840000,49.4621520000,dc74672,22,destination,Rheinland-Pfalz
dc531798,Reilingen,0,68799,8.5700110000,49.2989690000,dc531798,11,destination,Baden-Württemberg
dc531798,Reilingen,0,68799,8.5700110000,49.2989690000,dc531798,11,destination,Baden-Württemberg
dc541721,Buehl,0,77815,8.1264690000,48.7026260000,dc541721,11,destination,Baden-Württemberg
dc541721,Buehl,0,77815,8.1264690000,48.7026260000,dc541721,11,destination,Baden-Württemberg
dc25007,Nesselwang,0,878484,10.4985060000,47.6273060000,dc25007,22,destination,Bayern
dc38217,Frankenberg,0,9669,13.0303470000,50.9133020000,dc38217,11,destination,Sachsen
dc27911,Kamenz,0,1917,14.0955950000,51.2700640000,dc27911,11,destination,Sachsen
dc25593,Muhlhausen,0,73347,9.6570610000,48.5803140000,dc25593,17,destination,Baden-Württemberg
dc25806,Gießen,0,35390,8.6691190000,50.5832830000,dc25806,11,destination,Hessen
dc26332,Stuttgart-Moehringen,0,70567,9.1448820000,48.7213670000,dc26332,11,destination,Baden-Württemberg
dc26332,Stuttgart-Moehringen,0,70567,9.1448820000,48.7213670000,dc26332,11,destination,Baden-Württemberg
dc25253,Bad Mergentheim,0,97980,9.7962300000,49.4957640000,dc25253,11,destination,Baden-Württemberg
dc25253,Bad Mergentheim,0,97980,9.7962300000,49.4957640000,dc25253,11,destination,Baden-Württemberg
dc25681,Göhren,0,18586,13.7398830000,54.3436680000,dc25681,22,destination,Mecklenburg-Vorpommern
dc38618,Fuerth,0,90766,10.9495770000,49.4899350000,dc38618,11,destination,Bayern
dc29308,Koeln,0,50933,6.9089440000,50.9384697000,dc29308,11,destination,Nordrhein-Westfalen
dc29308,Koeln,0,50933,6.9089440000,50.9384697000,dc29308,11,destination,Nordrhein-Westfalen
dc26334,Frankfurt am Main,0,60313,8.6797060000,50.1158030000,dc26334,11,destination,Hessen
dc71396,Wilhelmshaven,0,26382,8.1152630000,53.5119730000,dc71396,17,destination,Niedersachsen
dc12440,Heringsdorf,0,17424,14.1817710000,53.9467410000,dc12440,22,destination,Mecklenburg-Vorpommern
dc12440,Heringsdorf,0,17424,14.1817710000,53.9467410000,dc12440,22,destination,Mecklenburg-Vorpommern
dc22192,Weisendorf,0,91085,10.8202290000,49.6337150000,dc22192,22,destination,Bayern
dc22192,Weisendorf,0,91085,10.8202290000,49.6337150000,dc22192,22,destination,Bayern
dc17703,Viechtach,0,94234,12.9138910000,49.0695940000,dc17703,22,destination,Bayern
dc17703,Viechtach,0,94234,12.9138910000,49.0695940000,dc17703,22,destination,Bayern
dc33533,Lindberg,0,94227,13.2643040000,49.0459140000,dc33533,11,destination,Bayern
dc33533,Lindberg,0,94227,13.2643040000,49.0459140000,dc33533,11,destination,Bayern
dc26753,Bad Griesbach,0,94086,13.1974060000,48.4412010000,dc26753,11,destination,Bayern
