station_id,kw
dc36310,11
dc36310,11
dc75043,22
dc74540,11
dc78129,17
dc11920,11
dc11920,11
dc74675,17
dc74672,22
dc74672,22
dc531798,11
dc531798,11
dc541721,11
dc541721,11
dc25007,22
dc38217,11
dc27911,11
dc25593,17
dc25806,11
dc26332,11
dc26332,11
dc25253,11
dc25253,11
dc25681,22
dc38618,11
dc29308,11
dc29308,11
dc26334,11
dc71396,17
dc12440,22
dc12440,22
dc22192,22
dc22192,22
dc17703,22
dc17703,22
dc33533,11
dc33533,11
dc26753,11
dc26753,11
dc24555,22
dc24555,22
dc25660,22
dc25660,22
dc25185,22
dc33604,17
dc25252,14
dc25252,14
dc25184,22
dc25188,11
dc25188,11
dc21670,22
dc25914,22
dc18996,22
dc18996,22
dc25174,22
dc23637,17
dc25114,22
dc25114,22
dc25614,17
dc25614,17
dc21667,22
dc81543,6
dc81554,11
dc81554,11
dc29581,14
dc29581,14
dc17835,22
dc12841,11
dc38593,11
dc38593,11
dc16037,11
dc51038,22
dc31834,14
dc31834,14
dc18287,22
dc18287,22
dc18235,14
dc17555,22
dc42523,22
dc40522,11
dc38626,11
dc38626,11
dc14169,22
dc14169,22
dc11693,22
dc22636,11
dc20667,11
dc20667,11
dc20667,11
dc17007,17
dc17007,17
dc23368,22
dc16626,11
dc16626,11
dc16848,17
dc16848,17
dc531804,11
dc531804,11
dc13281,22
dc13281,22
dc55874,11
dc55874,11
dc55874,11
dc34207,22
dc34207,22
dc15157,22
dc21982,11
dc536260,22
dc536260,22
dc30916,11
dc31953,22
dc31953,22
dc31953,22
dc29286,22
dc33979,22
dc33979,22
dc14931,22
dc14931,22
dc18363,22
dc18363,22
dc23021,22
dc29797,11
dc29797,11
dc23513,22
dc12501,22
dc12501,22
dc17496,22
dc36812,22
dc15729,22
dc15729,22
dc16516,22
dc608774,22
dc608774,22
dc62690,22
dc62690,22
dc86317,6
dc86317,6
dc79814,11
dc79814,11
dc79814,11
dc39012,17
dc29955,22
dc60487,14
dc60487,14
dc21837,11
dc47116,22
dc47116,22
dc11697,14
dc11697,14
dc16678,22
dc16678,22
dc81553,6
dc19473,22
dc19473,22
dc11005,22
dc11005,22
dc37395,11
dc15127,22
dc15127,22
dc12289,22
dc12289,22
dc17501,11
dc37330,14
dc22698,11
dc22698,11
dc37147,22
dc17503,11
dc17503,11
dc33758,22
dc33758,22
dc26668,22
dc35347,11
dc26670,11
dc16845,11
dc16843,11
dc25852,17
dc25852,17
dc15868,22
dc36134,11
dc16426,17
dc22640,17
dc22640,17
dc26682,22
dc26682,22
dc30017,11
dc23365,22
dc531459,11
dc531459,11
dc18333,22
dc72097,22
dc72097,22
dc10205,22
dc10205,22
dc10014,22
dc10014,22
dc14666,22
dc24307,11
dc24307,11
dc55257,11
dc23477,22
dc12203,22
dc21181,22
dc21181,22
dc23038,22
dc54641,22
dc29625,22
dc29625,22
dc25220,22
dc25220,22
dc71527,22
dc14662,11
dc14662,11
dc26854,22
dc28382,22
dc28382,22
dc19617,22
dc19617,22
dc18251,22
dc18251,22
dc38595,11
dc33524,11
dc33524,11
dc18283,22
dc531791,11
dc531791,11
dc78503,22
dc78503,22
dc21449,22
dc18316,22
dc18316,22
dc11711,22
dc12293,11
dc12293,11
dc14480,22
dc14480,22
dc26400,22
dc26400,22
dc22585,22
dc22585,22
dc536250,22
dc35985,22
dc23554,11
dc37143,11
dc37334,17
dc37334,17
dc51033,11
dc18296,22
dc18296,22
dc13516,22
dc14452,22
dc18984,22
dc53172,11
dc53172,11
dc12648,11
dc71393,4
dc16228,22
dc16228,22
dc531865,11
dc531865,11
dc531865,11
dc531865,11
dc531865,11
dc11780,22
dc11780,22
dc16653,11
dc16653,11
dc16652,11
dc16652,11
dc16651,22
dc16651,22
dc71243,22
dc36936,22
dc36936,22
dc22819,14
dc22819,14
dc37411,11
dc37411,11
dc18231,11
dc18231,11
dc18995,14
dc56801,11
dc22024,22
dc22024,22
dc14819,22
dc14819,22
dc28841,11
dc28841,11
dc18312,22
dc81653,11
dc60560,11
dc60560,11
dc16293,11
dc16293,11
dc16487,22
dc18208,11
dc17974,22
dc17976,11
dc17975,22
dc35000,11
dc37068,11
dc37245,22
dc22518,11
dc18489,11
dc22573,22
dc22573,22
dc17494,22
dc17494,22
dc36522,22
dc36522,22
dc36522,22
dc18478,14
dc22635,11
dc24303,22
dc12912,11
dc12912,11
dc16369,22
dc23473,22
dc23473,22
dc15837,22
dc15837,22
dc47314,11
dc47314,11
dc13339,22
dc13339,22
dc14167,22
dc14167,22
dc60879,11
dc60879,11
dc60879,11
dc16266,11
dc17864,22
dc17864,22
dc18258,22
dc18258,22
dc50844,11
dc83733,11
dc539120,11
dc539120,11
dc539120,11
dc11814,22
dc11814,22
dc39673,11
dc39673,11
dc38628,22
dc17293,14
dc23550,22
dc75821,11
dc22083,17
dc70837,22
dc26522,11
dc60559,11
dc18331,22
dc18327,22
dc18328,9
dc18329,9
dc18335,22
dc18330,22
dc18334,22
dc18332,22
dc18332,22
dc43777,22
dc43777,22
dc43777,22
dc43777,22
dc27982,11
dc27982,11
dc15707,22
dc73006,22
dc73006,22
dc18708,22
dc18708,22
dc33154,22
dc33154,22
dc25187,14
dc25187,14
dc49428,11
dc49428,11
dc16908,22
dc16908,22
dc26451,17
dc26451,17
dc74926,22
dc17968,11
dc17968,11
dc21868,22
dc21868,22
dc21179,22
dc47007,17
dc47007,17
dc15291,22
dc15291,22
dc15291,22
dc35802,22
dc35802,22
dc36446,11
dc36446,11
dc81537,11
dc54642,22
dc54642,22
dc18260,22
dc18260,22
dc37144,22
dc37144,22
dc37144,22
dc40879,22
dc40879,22
dc35739,22
dc35739,22
dc71401,11
dc18315,14
